dataset,accuracy,f1_macro,precision_macro,recall_macro,auc_macro
wave1_imputed.xlsx,0.9511,0.9259,0.9195,0.9333,0.9939
wave2_imputed.xlsx,0.9455,0.9105,0.9322,0.8926,0.9962
wave3_imputed.xlsx,0.9231,0.8836,0.9195,0.858,0.9922
wave4_imputed.xlsx,0.8964,0.6152,0.6603,0.5871,0.8603
