dataset,accuracy,f1_macro,precision_macro,recall_macro,auc_macro
wave1_imputed.xlsx,1.0,1.0,1.0,1.0,1.0
wave2_imputed.xlsx,1.0,1.0,1.0,1.0,1.0
wave3_imputed.xlsx,0.9846,0.9841,0.977,0.9922,1.0
wave4_imputed.xlsx,0.992,0.7419,0.7344,0.75,0.9892
